symbol,side,quantity,entryPrice,exitPrice,entryDate,exitDate,fees,strategy,notes
FCUV,LONG,200,7.41,7.74,2026-04-06T09:00:29,2026-04-06T09:11:09,0,,
FCUV,LONG,200,6.0,6.35,2026-04-06T07:51:31,2026-04-06T07:51:57,0,,
RENX,LONG,600,2.58,2.75,2026-04-06T07:34:04,2026-04-06T07:46:38,0,,
MLEC,LONG,100,11.65,11.78,2026-04-06T07:26:24,2026-04-06T07:26:38,0,,
PRFX,LONG,700,2.98,2.89,2026-04-06T06:37:54,2026-04-06T07:20:17,0,,
KODK,LONG,100,10.97,11.11,2026-04-02T10:17:06,2026-04-02T10:51:16,0,,
COCP,LONG,100,1.95,1.8,2026-04-02T08:44:22,2026-04-02T08:46:51,0,,
SKYQ,LONG,1300,3.61,5.35,2026-04-02T07:17:57,2026-04-02T08:26:33,0,,
BATL,LONG,200,5.27,5.19,2026-04-02T07:15:48,2026-04-02T07:16:25,0,,
CYCN,LONG,100,5.99,6.31,2026-04-01T09:30:12,2026-04-01T09:30:22,0,,
CYCN,LONG,300,4.02,3.88,2026-04-01T07:36:00,2026-04-01T08:20:39,0,,
ELAB,LONG,200,4.24,4.19,2026-03-31T07:56:09,2026-03-31T07:56:24,0,,
ELAB,LONG,100,4.06,4.26,2026-03-30T09:30:00,2026-03-30T09:31:27,0,,
EEIQ,LONG,200,12.0,12.29,2026-03-30T08:17:18,2026-03-30T08:17:59,0,,
ELAB,LONG,200,3.11,3.16,2026-03-30T07:05:35,2026-03-30T07:05:59,0,,
EEIQ,LONG,1400,9.85,11.56,2026-03-30T06:06:09,2026-03-30T06:28:53,0,,
ARTL,LONG,800,9.09,11.72,2026-03-27T08:51:32,2026-03-27T09:52:54,0,,"First two trades were unnecessary, already in the consolidation area. I missed the first big move and the next entries were FOMO driven. The last trade was a quick in and out in a break between halts. Although the stock was strong it felt a little bit like gambling."
EEIQ,LONG,1000,6.83,11.94,2026-03-26T09:43:21,2026-03-26T10:06:52,0,,
ANNA,LONG,500,8.64,8.62,2026-03-26T09:35:44,2026-03-26T09:36:03,0,,
BATL,LONG,1000,6.89,7.1,2026-03-26T08:32:29,2026-03-26T08:50:48,0,,
FCHL,LONG,1000,3.51,3.8,2026-03-26T08:12:03,2026-03-26T08:15:03,0,,
EEIQ,LONG,1000,4.93,5.14,2026-03-26T06:44:05,2026-03-26T06:48:18,0,,
ANNA,LONG,1000,7.02,7.87,2026-03-24T08:48:08,2026-03-24T09:40:12,0,,"MACD almost negative. I tried to enter on a 1 min pullback but it didn't work out. Good fast exit. 1 min Pullback but I predicted in earlier by looking at the 10s chart, seeing momentum going up. Exit was too early. I was afraid of losing the the profit. Missed a nice move up."
FEED,LONG,500,2.0,2.06,2026-03-24T08:12:11,2026-03-24T08:12:29,0,,Spotted a big seller on ask being bought up
ELAB,LONG,500,5.18,5.05,2026-03-24T07:42:05,2026-03-24T07:42:10,0,,Traded the back side of the move. MACD was negative. I was hoping for breakout on a candle making new high
UGRO,LONG,500,4.13,4.14,2026-03-23T08:18:51,2026-03-23T08:18:56,0,A stock,Pressed buy by mistake
UGRO,LONG,500,3.63,3.68,2026-03-23T07:54:15,2026-03-23T07:56:57,0,"A stock,B setup,1min pullback",
UGRO,LONG,500,3.72,3.7,2026-03-23T07:51:44,2026-03-23T07:52:40,0,"A stock,10s pullback,C setup",Don't remember what the intention was.
UGRO,LONG,1000,3.11,3.3,2026-03-23T07:17:08,2026-03-23T07:18:06,0,"A stock,VWAP reversal,A setup",
UGRO,LONG,1000,3.27,3.17,2026-03-23T07:15:14,2026-03-23T07:16:10,0,"A stock,10s pullback,B setup",Got too excited. This trade was not needed. Pointless entry
UGRO,LONG,1000,3.26,3.17,2026-03-23T07:14:25,2026-03-23T07:14:50,0,"A stock,1min pullback,Score 8",
ANNA,LONG,500,5.6,5.71,2026-03-20T10:28:40,2026-03-20T10:30:03,0,"Reversal,Score 8,B stock",
ANNA,LONG,1000,4.65,4.78,2026-03-20T10:05:06,2026-03-20T10:05:45,0,"1min pullback,B stock,Score 8",
ARTL,LONG,1000,8.92,9.22,2026-03-20T09:51:11,2026-03-20T09:53:04,0,"1min pullback,B stock,Score 6",
ARTL,LONG,1000,9.3,9.1,2026-03-20T09:46:16,2026-03-20T09:48:03,0,"10s pullback,B stock,Score 6",
ARTL,LONG,500,9.23,9.18,2026-03-20T09:45:50,2026-03-20T09:46:06,0,"10s pullback,B stock,Score 6",
ARTL,LONG,500,9.54,9.59,2026-03-20T09:43:02,2026-03-20T09:44:02,0,"1min pullback,B stock,Score 6",
ARTL,LONG,500,9.78,9.41,2026-03-20T09:41:24,2026-03-20T09:41:58,0,"Breakout,B stock,Score 6",
ARTL,LONG,1000,9.11,9.34,2026-03-20T09:40:02,2026-03-20T09:40:16,0,"B stock,Score 6,10s pullback",
ARTL,LONG,1000,9.06,8.87,2026-03-20T09:38:51,2026-03-20T09:38:55,0,"10s pullback,B stock,Score 6",
SER,LONG,200,2.23,2.2,2026-03-19T09:39:38,2026-03-19T09:40:05,0,"1min pullback,A stock,Volume profile,MACD -,Score 5",
SER,LONG,200,2.3,2.17,2026-03-19T09:34:51,2026-03-19T09:37:20,0,"1min pullback,A stock,Volume profile,MACD +,Loser hold,Score 6",Hold the loser for too long
CHNR,LONG,100,4.95,5.17,2026-03-19T07:26:33,2026-03-19T07:27:24,0,"A stock,Volume profile,MACD +,Reversal,Score 7",This time I looked at the 10s chart to time the entry
